Project Id,Approval Date,Show Name,Source,Video Title,Length,Status,Watch,Sunset Date,Music,Music Info,Promo Code,Notes,PR,On-Air,,Digital,,,Social,Off Air
60836,7/14/2017,"Wall, The S2",TOP,Chris Paris Promo,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A720WAL1207H,,,,,,,,,
60651,7/10/2017,"Wall, The S2",TOP,Jeff Jamie Promo,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A713WAL1107H,,,,,,,,,
60621,7/7/2017,"Wall, The S2",TOP,Jeff Jamie Promo,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A713WAL1207H,,,,,,,,,
60566,7/6/2017,"Wall, The S2",TOP,Jeff Jamie Look Ahead,0:15,Live,Rough Final Create Video Quick Link,,Library,,015T713WAL1107H,,,,,7/7/2017,Digital,NBC.com,,
,,,,,,,,,,,,,,,,7/7/2017,Digital,,,
,,,,,,,,,,,,,,,,7/7/2017,Digital,Hulu,,
,,,,,,,,,,,,,,,,7/7/2017,Digital,YouTube,,
60541,6/29/2017,"Wall, The S2",TOP,Thursday 3-Way Line Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A706HGN3107H,For 6/6,,7/5/2017,On-Air,,,,,
60551,6/29/2017,"Wall, The S2",TOP,Delvar Bonnie,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A706WAL1107H,,,,,,,,,
60531,6/29/2017,"Wall, The S2",TOP,Promo for 6/6,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A706WAL1207H,,,7/5/2017,On-Air,,,,,
60341,6/23/2017,"Wall, The S2",TOP,Thursday Line-Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A629HGN3107H,,,6/25/2017,On-Air,,,,,
60311,6/23/2017,"Wall, The S2",TOP,Lenny Sharon Promo,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A629WAL1207H,,,6/24/2017,On-Air,,,,,
60301,6/22/2017,"Wall, The S2",TOP,EP 205 Look Ahead,0:15,Live,Rough Final Create Video Quick Link,,Library,,015T629WAL1107H,Note: we need to replace the airport shot-- waiting for the show to send textless material.,,,,,,,,
60596,7/6/2017,Will & Grace S9,LCOP,Headshot,0:05,Live,Rough Final Create Video Quick Link,,Licensed,"""I Got The Feelin"" by James Brown",005G831GRC1307H,,,7/10/2017,On-Air,,,,,
60391,6/27/2017,Will & Grace S9,LCOP,Quality (Needledrop),0:15,Live,Rough Final Create Video Quick Link,,Library,,015G831GRC1207H,,,7/6/2017,On-Air,,,,,
60111,6/15/2017,Will & Grace S9,LCOP,I Got The Feelin,0:15,Live,Rough Final Create Video Quick Link,,Licensed,?I Got the Feeling? by James Brown,015G831GRC1107H,,,7/5/2017,On-Air,,,,,
60096,6/15/2017,Will & Grace S9,LCOP,Quality,0:05,Live,Rough Final Create Video Quick Link,,Library,,005G831GRC1207H,,,7/11/2017,On-Air,,,,,
60101,6/15/2017,Will & Grace S9,LCOP,Names,0:05,Live,Rough Final Create Video Quick Link,,Library,,005G831GRC1107H,,,7/11/2017,On-Air,,,,,
60826,7/14/2017,World of Dance S1,TOP,Week 7 Emotional,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A718WOD1207H,,,,,,,,,
60821,7/13/2017,World of Dance S1,TOP,Tuesday Line-Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A718GON2107H,,,7/14/2017,On-Air,,,,,
60681,7/12/2017,World of Dance S1,TOP,EP 107,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A718WOD1107H,,,7/12/2017,On-Air,,,,,
60666,7/11/2017,World of Dance S1,TOP,EP 107,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A718WOD1207H,,,,,,,,,
60636,7/7/2017,World of Dance S1,TOP,EP 107 Look Ahead,0:30,Live,Rough Final Create Video Quick Link,,Library,,030T718WOD1107H,,,,,,,,,
60561,7/5/2017,World of Dance S1,TOP,EP106 Promo,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A711WOD1107H,"CUT 02 - ""Pouring In"" Airs tonight 6/5/2017",,7/5/2017,On-Air,,,,,
